date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:42:32	81436/81436	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Feb%202026%2015:42:30%20GMT	https://liberatoryai.datainfrastructures.org/	/Users/zhzhou/Desktop/liberatoryai_fullsite/liberatoryai.datainfrastructures.org/index.html	(from )
10:42:33	114060/114060	---MC-	200	added ('OK')	application/rss+xml	etag:%2287ba3bd6e3b2ea5449aa0c9b772770fd%22	https://liberatoryai.datainfrastructures.org/feed/	/Users/zhzhou/Desktop/liberatoryai_fullsite/liberatoryai.datainfrastructures.org/feed/index.html	(from https://liberatoryai.datainfrastructures.org/)
10:42:34	2207/2207	---MC-	200	added ('OK')	application/json	date:Sun,%2008%20Feb%202026%2015:42:32%20GMT	https://liberatoryai.datainfrastructures.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fliberatoryai.datainfrastructures.org%2F	/Users/zhzhou/Desktop/liberatoryai_fullsite/liberatoryai.datainfrastructures.org/wp-json/oembed/1.0/embed1bab.json	(from https://liberatoryai.datainfrastructures.org/)
10:42:34	784/784	---MC-	200	added ('OK')	application/rss+xml	etag:%2287ba3bd6e3b2ea5449aa0c9b772770fd%22	https://liberatoryai.datainfrastructures.org/comments/feed/	/Users/zhzhou/Desktop/liberatoryai_fullsite/liberatoryai.datainfrastructures.org/comments/feed/index.html	(from https://liberatoryai.datainfrastructures.org/)
10:42:34	158741/158741	---MC-	200	added ('OK')	text/xml	date:Sun,%2008%20Feb%202026%2015:42:34%20GMT	https://liberatoryai.datainfrastructures.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fliberatoryai.datainfrastructures.org%2F&format=xml	/Users/zhzhou/Desktop/liberatoryai_fullsite/liberatoryai.datainfrastructures.org/wp-json/oembed/1.0/embeda37b	(from https://liberatoryai.datainfrastructures.org/)
10:42:35	68/68	---M--	200	added ('OK')	text/css	etag:%2244-6327248df88ff%22	https://liberatoryai.datainfrastructures.org/wp-content/plugins/svg-support/css/svgs-attachment.css?ver=491553649	/Users/zhzhou/Desktop/liberatoryai_fullsite/liberatoryai.datainfrastructures.org/wp-content/plugins/svg-support/css/svgs-attachment3873.css	(from https://liberatoryai.datainfrastructures.org/)
10:42:36	9765/9765	---M--	200	added ('OK')	text/css	etag:%222625-636ac26eefe7a%22	https://liberatoryai.datainfrastructures.org/wp-content/themes/islands/style.css?ver=257885059	/Users/zhzhou/Desktop/liberatoryai_fullsite/liberatoryai.datainfrastructures.org/wp-content/themes/islands/stylebd6f.css	(from https://liberatoryai.datainfrastructures.org/)
10:42:37	2503/2503	---M--	200	added ('OK')	text/css	etag:%229c7-62f9aac1458bf%22	https://liberatoryai.datainfrastructures.org/wp-content/themes/twentytwentyfive/style.css?ver=375333888	/Users/zhzhou/Desktop/liberatoryai_fullsite/liberatoryai.datainfrastructures.org/wp-content/themes/twentytwentyfive/style43d1.css	(from https://liberatoryai.datainfrastructures.org/)
10:42:38	2503/2503	---M--	200	added ('OK')	text/css	etag:%229c7-62f9aac1458bf%22	https://liberatoryai.datainfrastructures.org/wp-content/themes/twentytwentyfive/style.css?ver=145144360	/Users/zhzhou/Desktop/liberatoryai_fullsite/liberatoryai.datainfrastructures.org/wp-content/themes/twentytwentyfive/style536e.css	(from https://liberatoryai.datainfrastructures.org/)
10:42:40	87553/87553	---M--	200	added ('OK')	text/javascript	etag:%2215601-603fed36a2e96%22	https://liberatoryai.datainfrastructures.org/wp-includes/js/jquery/jquery.min.js?ver=218533670	/Users/zhzhou/Desktop/liberatoryai_fullsite/liberatoryai.datainfrastructures.org/wp-includes/js/jquery/jquery.min82e7.js	(from https://liberatoryai.datainfrastructures.org/)
